Name,Position,Club,Nationality,Age,Appearances,Starts,Minutes Played,Average Rating,Goals,Assists,Player of the Match,Yellow Cards,Red Cards,Goals per 90,Expected Goals,xG per 90,Expected Assists,xA per 90,Non-Penalty xG,NP-xG per 90,xG Overperformance (Goals − xG),Shots,Shots per 90,Shots on Target,Shots on Target per 90,Conversion Rate,Clear Cut Chances Created,Clear Cut Chances Created per 90,Penalties Taken,Penalties Scored,Pass Completion %,Passes Completed,Passes Completed per 90,Key Passes,Key Passes per 90,Progressive Passes,Progressive Passes per 90,Passes Attempted,Passes Attempted per 90,Crosses Attempted,Crosses Completed,Open Play Crosses Attempted,Open Play Crosses Completed,Tackles Completed,Tackles Completed per 90,Interceptions,Clearances,Blocks,Pressures Completed per 90,Tackles Attempted,Interceptions per 90,Clearances per 90,Blocks per 90,Key Tackles,Key Tackles per 90,Pressures Attempted,Pressures Attempted per 90,Pressures Completed,Fouls Made,Fouls Won (Against),Save Percentage,Saves per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded per 90,Expected Goals Prevented,Saves Held,Saves Parried,Saves Tipped,Penalties Faced,Penalties Saved,Penalty Save Ratio,Goals Conceded,Distance per 90 (km),Sprints per 90,Dribbles per 90,Distance (km),Sprints,Dribbles,Headers Attempted,Headers Won,Goal Contributions,Goal Contributions per 90,Non-Penalty Contributions per 90,Defensive Actions per 90,Attacking Actions per 90,Creative Actions per 90,Progressive Pass %
Frédéric Veseli,D (RC),Südtirol,Albania,33,28,28,2467,6.77,0,1,1,3,0,0.00,0.11,0.00,0.33,0.01,0.11,0.00,-0.11,5,0.2,1,0.0,0.0%,2,0.07,0,0,88.9%,1350,49.3,6,0.22,147,5.4,1518,55.4,8,4,8,4,40,1.46,90,50,20,0.7,44,3.28,1.82,0.73,4,0.15,107,3.9,19,21,3,,,,,,,,,,,,,,10.78,9.4,0.2,295.5,258,5,134,106,1,0.04,0.04,6.24,0.44,5.65,9.7%
Roberto Soriano,M/AM (C),U.S. Avellino 1912,Italy,35,28,27,1874,6.79,2,2,1,6,0,0.10,1.66,0.08,2.20,0.11,1.66,0.08,0.34,38,1.8,14,0.7,5.3%,6,0.29,0,0,86.8%,1077,51.7,37,1.78,166,8.0,1241,59.6,37,7,24,6,25,1.20,38,15,5,3.1,38,1.82,0.72,0.24,0,0.00,248,11.9,64,26,9,,,,,,,,,,,,,,11.63,15.7,0.4,242.1,327,8,37,15,4,0.19,0.19,4.51,1.73,8.79,13.4%
Paolo Rozzio,D (C),Reggiana,Italy,33,28,28,2520,6.69,1,0,0,2,0,0.04,0.66,0.02,0.28,0.01,0.66,0.02,0.34,6,0.2,2,0.1,16.7%,0,0.00,0,0,91.9%,1136,40.6,7,0.25,101,3.6,1236,44.1,1,0,0,0,10,0.36,72,27,12,0.7,18,2.57,0.96,0.43,0,0.00,61,2.2,19,17,0,,,,,,,,,,,,,,9.97,6.4,0.0,279.2,179,0,114,68,1,0.04,0.04,3.96,0.11,3.61,8.2%
Dimitri Bisoli,"DM, M (C)",Cesena FC,Italy,31,28,26,1955,6.88,2,3,1,0,0,0.09,1.44,0.07,0.80,0.04,1.44,0.07,0.56,23,1.1,9,0.4,8.7%,1,0.05,0,0,92.4%,1235,56.9,14,0.64,152,7.0,1337,61.5,4,2,0,0,38,1.75,52,25,13,2.5,50,2.39,1.15,0.60,0,0.00,183,8.4,55,8,4,,,,,,,,,,,,,,12.54,17.1,0.2,272.3,371,4,29,17,5,0.23,0.23,5.11,0.74,7.37,11.4%
Armando Izzo,D (RC),U.S. Avellino 1912,Italy,34,28,28,2520,6.97,1,1,1,2,0,0.04,0.89,0.03,1.07,0.04,0.89,0.03,0.11,4,0.1,2,0.1,25.0%,1,0.04,0,0,90.9%,1403,50.1,9,0.32,150,5.4,1544,55.1,0,0,0,0,31,1.11,102,36,18,1.2,38,3.64,1.29,0.64,7,0.25,100,3.6,33,18,3,,,,,,,,,,,,,,10.75,7.9,0.0,301.0,222,0,149,96,2,0.07,0.07,6.04,0.14,5.46,9.7%
Tommaso Augello,D/WB/M (L),Palermo,Italy,31,28,28,2248,7.23,4,8,3,2,0,0.16,3.65,0.15,7.00,0.28,3.65,0.15,0.35,39,1.6,16,0.6,10.3%,21,0.84,0,0,83.3%,1091,43.7,55,2.20,152,6.1,1309,52.4,134,38,113,37,63,2.52,82,21,16,3.6,84,3.28,0.84,0.64,1,0.04,280,11.2,91,20,42,,,,,,,,,,,,,,13.21,28.0,6.3,330.0,700,157,67,33,12,0.48,0.48,7.25,9.41,14.05,11.6%
Gennaro Tutino,"AM (RLC), ST",Sampdoria,Italy,29,28,28,2500,7.29,19,9,5,0,0,0.68,11.74,0.42,5.13,0.18,10.21,0.37,7.26,89,3.2,44,1.6,21.3%,14,0.50,2,2,89.4%,658,23.7,47,1.69,57,2.1,736,26.5,61,7,51,7,3,0.11,21,1,2,0.4,4,0.76,0.04,0.07,0,0.00,38,1.4,12,31,31,,,,,,,,,,,,,,11.06,6.8,0.6,307.3,188,17,223,34,28,1.01,0.94,2.05,3.56,3.78,7.7%
Luca Parodi,"D (RC), WB (R)",Virtus Entella,Italy,30,28,28,2405,6.88,2,7,5,5,0,0.07,1.44,0.05,5.07,0.19,1.44,0.05,0.56,26,1.0,8,0.3,7.7%,13,0.49,0,0,85.7%,1089,40.8,47,1.76,137,5.1,1271,47.6,175,26,168,25,73,2.73,78,30,20,2.5,100,2.92,1.12,0.75,2,0.07,282,10.6,67,30,37,,,,,,,,,,,,,,12.88,24.4,2.6,344.2,651,70,83,13,9,0.34,0.34,7.52,4.42,9.13,10.8%
Nicolás Schiavi,"DM, M/AM (C)",Carrarese,Argentina,31,28,28,2460,6.79,2,0,0,2,1,0.07,1.01,0.04,1.41,0.05,1.01,0.04,0.99,16,0.6,6,0.2,12.5%,3,0.11,0,0,91.3%,1882,68.9,26,0.95,234,8.6,2061,75.4,46,6,7,2,45,1.65,73,29,15,2.1,53,2.67,1.06,0.55,3,0.11,179,6.5,58,15,3,,,,,,,,,,,,,,12.39,15.5,0.3,338.7,423,8,36,15,2,0.07,0.07,5.41,0.77,8.96,11.4%
Filippo Delli Carri,"D (RC), WB (R)",Monza,Italy,26,28,28,2410,6.98,0,2,1,2,0,0.00,1.13,0.04,1.27,0.05,1.13,0.04,-1.13,14,0.5,6,0.2,0.0%,3,0.11,0,0,93.2%,1430,53.4,5,0.19,101,3.8,1534,57.3,5,1,5,1,33,1.23,88,43,21,1.1,41,3.29,1.61,0.78,5,0.19,80,3.0,30,17,2,,,,,,,,,,,,,,10.11,6.2,0.1,270.7,165,3,178,105,2,0.07,0.07,5.94,0.49,3.96,6.6%
Enrico Piovanello,AM (RC),Juve Stabia,Italy,25,28,22,2032,6.71,3,1,1,1,0,0.13,2.85,0.13,0.84,0.04,2.85,0.13,0.15,22,1.0,9,0.4,13.6%,2,0.09,0,0,89.5%,856,37.9,32,1.42,60,2.7,956,42.3,49,7,44,6,19,0.84,48,14,5,1.3,24,2.13,0.62,0.22,0,0.00,141,6.2,29,13,14,,,,,,,,,,,,,,11.66,11.3,1.7,263.2,256,39,62,15,4,0.18,0.18,3.76,2.61,5.00,6.3%
Salvatore Esposito,"DM, M (C)",Spezia,Italy,25,28,28,2520,6.98,4,5,3,3,0,0.14,3.90,0.14,6.47,0.23,2.38,0.08,0.10,43,1.5,17,0.6,9.3%,11,0.39,2,2,90.5%,1513,54.0,72,2.57,148,5.3,1672,59.7,249,41,50,13,42,1.50,75,17,11,2.5,59,2.68,0.61,0.39,0,0.00,260,9.3,70,35,14,,,,,,,,,,,,,,12.95,16.7,0.5,362.6,468,14,58,21,9,0.32,0.25,5.82,2.04,6.29,8.9%
Elian Demirović,M (LC),Juve Stabia,Slovenia,25,28,28,2520,6.65,2,0,0,0,0,0.07,1.42,0.05,1.79,0.06,1.42,0.05,0.58,18,0.6,1,0.0,11.1%,0,0.00,0,0,67.5%,378,13.5,0,0.00,0,0.0,560,20.0,0,0,0,0,47,1.68,0,0,0,0.0,65,0.00,0.00,0.00,0,0.00,0,0.0,0,28,50,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,2,0.07,0.07,2.68,0.11,1.79,0.0%
Stefano Cella,D (C),Mantova,Italy,24,28,28,2520,6.50,0,0,0,3,0,0.00,0.22,0.01,0.53,0.02,0.22,0.01,-0.22,3,0.1,0,0.0,0.0%,0,0.00,0,0,95.5%,1157,41.3,2,0.07,56,2.0,1211,43.3,1,0,1,0,16,0.57,50,16,14,0.5,21,1.79,0.57,0.50,3,0.11,51,1.8,13,10,2,,,,,,,,,,,,,,10.32,6.3,0.0,289.0,177,0,59,24,0,0.00,0.00,3.21,0.00,2.07,4.6%
Damiano Cancellieri,D/WB/M (L),U.S. Avellino 1912,Italy,24,28,29,2283,6.64,0,1,1,3,0,0.00,0.29,0.01,2.32,0.09,0.29,0.01,-0.29,4,0.2,0,0.0,0.0%,4,0.16,0,0,86.6%,1231,48.5,30,1.18,175,6.9,1422,56.1,86,18,86,18,31,1.22,94,23,17,1.7,42,3.71,0.91,0.67,5,0.20,153,6.0,43,22,20,,,,,,,,,,,,,,12.24,12.9,0.5,310.5,326,13,122,65,1,0.04,0.04,6.47,1.38,8.20,12.3%
Iacopo Lipani,"DM, M (C)",Virtus Entella,Italy,24,28,28,2130,6.90,1,3,0,1,0,0.04,1.54,0.07,2.59,0.11,1.54,0.07,-0.54,21,0.9,5,0.2,4.8%,3,0.13,0,0,92.5%,1053,44.5,22,0.93,125,5.3,1138,48.1,131,19,3,1,12,0.51,55,26,13,1.2,27,2.32,1.10,0.55,1,0.04,120,5.1,29,10,12,,,,,,,,,,,,,,10.53,9.5,0.1,249.2,225,2,22,11,4,0.17,0.17,3.80,0.51,5.87,11.0%
Francesco Amatucci,"DM, M (C)",Frosinone,Italy,24,28,14,1524,6.97,1,0,0,1,0,0.06,0.62,0.04,0.44,0.03,0.62,0.04,0.38,18,1.1,7,0.4,5.6%,0,0.00,0,0,93.0%,1227,72.5,11,0.65,153,9.0,1319,77.9,3,1,2,0,34,2.01,72,11,12,2.7,39,4.25,0.65,0.71,1,0.06,182,10.7,46,12,4,,,,,,,,,,,,,,12.69,14.8,0.1,214.8,250,2,27,9,1,0.06,0.06,7.68,0.59,9.39,11.6%
Giacomo Fedel,"D (R), DM, M (RLC)",Mantova,Italy,23,28,27,2379,6.48,2,4,0,0,0,0.08,1.86,0.07,5.17,0.20,1.86,0.07,0.14,19,0.7,8,0.3,10.5%,4,0.15,0,0,,0,0.0,4,0.15,0,0.0,0,0.0,0,0,0,0,0,0.00,0,0,0,0.0,0,0.00,0.00,0.00,0,0.00,0,0.0,0,0,7,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,6,0.23,0.23,0.00,0.53,0.26,
Simone Trimboli,"DM, M (C)",Mantova,Italy,23,28,28,2477,6.78,2,2,1,5,0,0.07,2.58,0.09,2.86,0.10,1.81,0.07,-0.58,47,1.7,14,0.5,4.3%,3,0.11,1,1,89.6%,1604,58.3,47,1.71,187,6.8,1790,65.0,88,11,7,4,29,1.05,65,21,8,2.0,47,2.36,0.76,0.29,4,0.15,266,9.7,56,24,11,,,,,,,,,,,,,,12.65,16.1,0.6,348.2,443,16,36,10,4,0.15,0.11,4.58,1.38,7.78,10.4%
Sebastiano Desplanches,GK,Palermo,Italy,22,28,28,2520,6.88,0,0,2,0,0,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,86.7%,682,24.4,1,0.04,34,1.2,787,28.1,0,0,0,1982,,,14,90,157,0.0,,0.50,3.21,5.61,0,0.00,0,0.0,0,0,1,76.3%,4.4,9,0.32,1.36,-0.47,55,45,22,0,0,,38,4.24,0.0,0.0,118.6,0,0,,,0,0.00,0.00,6.11,70.79,1.25,4.3%
Luigi Palomba,D (C),Virtus Entella,Italy,22,28,28,2520,6.66,0,0,0,7,0,0.00,2.12,0.08,0.93,0.03,2.12,0.08,-2.12,14,0.5,1,0.0,0.0%,3,0.11,0,0,89.7%,1084,38.7,2,0.07,71,2.5,1209,43.2,0,0,0,0,6,0.21,60,27,13,0.8,13,2.14,0.96,0.46,1,0.04,92,3.3,22,20,5,,,,,,,,,,,,,,9.58,3.1,0.1,268.2,87,2,116,76,0,0.00,0.00,3.54,0.21,2.79,5.9%
Andrei Coubiş,"D (RC), WB (R)",Sampdoria,Romania,22,28,28,2536,6.62,0,2,0,1,0,0.00,1.41,0.05,1.34,0.05,1.41,0.05,-1.41,6,0.2,0,0.0,0.0%,0,0.00,0,0,68.4%,397,14.1,0,0.00,0,0.0,580,20.6,0,0,0,0,53,1.88,0,0,0,0.0,54,0.00,0.00,0.00,0,0.00,0,0.0,0,35,15,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,2,0.07,0.07,3.12,0.00,0.53,0.0%
Dennis Johnsen,"M (RL), AM (RLC)",Palermo,Norway,28,28,27,2152,7.27,14,7,3,0,0,0.59,9.42,0.39,6.01,0.25,9.42,0.39,4.58,80,3.3,38,1.6,17.5%,16,0.67,0,0,87.1%,937,39.2,43,1.80,98,4.1,1076,45.0,49,11,29,8,28,1.17,46,12,8,2.3,32,1.92,0.50,0.33,0,0.00,180,7.5,55,16,35,,,,,,,,,,,,,,13.03,14.1,3.0,311.6,338,72,55,11,21,0.88,0.88,4.10,6.19,8.57,9.1%
Liam Henderson,"DM, M/AM (C)",Sampdoria,Scotland,29,28,28,2237,6.98,4,1,1,2,0,0.16,2.49,0.10,1.36,0.05,2.49,0.10,1.51,53,2.1,19,0.8,7.5%,4,0.16,0,0,89.2%,1455,58.5,19,0.76,165,6.6,1632,65.7,27,7,27,7,60,2.41,57,20,11,1.9,86,2.29,0.80,0.44,1,0.04,233,9.4,48,23,6,,,,,,,,,,,,,,12.30,12.8,0.6,305.7,318,14,52,23,5,0.20,0.20,6.08,1.93,7.44,10.1%
Víctor Narro,"M (L), AM (RLC)",Sampdoria,Spain,26,28,29,2438,7.08,6,1,2,3,0,0.22,4.25,0.16,3.30,0.12,4.25,0.16,1.75,46,1.7,20,0.7,13.0%,7,0.26,0,0,88.1%,1056,39.0,46,1.70,97,3.6,1198,44.2,91,29,91,29,41,1.51,59,20,7,1.9,47,2.18,0.74,0.26,1,0.04,252,9.3,52,21,22,,,,,,,,,,,,,,11.52,15.5,3.5,312.1,419,96,98,40,7,0.26,0.26,4.73,5.83,7.94,8.1%
Gianluca Busio,"DM, M/AM (C)",Venezia,The United States of America,23,28,28,2420,6.85,1,2,0,3,0,0.04,1.18,0.04,2.83,0.11,1.18,0.04,-0.18,35,1.3,19,0.7,2.9%,4,0.15,0,0,90.6%,1621,60.3,48,1.79,202,7.5,1790,66.6,85,19,22,6,26,0.97,50,18,11,2.2,35,1.86,0.67,0.41,1,0.04,213,7.9,58,14,10,,,,,,,,,,,,,,11.97,12.8,0.7,321.9,344,19,32,3,3,0.11,0.11,3.76,1.82,8.59,11.3%
Szymon Żurkowski,"DM, M/AM (C)",Spezia,Poland,28,28,27,2228,6.95,6,1,3,2,0,0.24,3.25,0.13,1.76,0.07,2.48,0.10,2.75,59,2.4,22,0.9,10.2%,2,0.08,1,1,88.7%,1251,50.5,37,1.49,131,5.3,1410,57.0,46,9,18,5,41,1.66,72,15,16,2.1,52,2.91,0.61,0.65,4,0.16,232,9.4,52,29,12,,,,,,,,,,,,,,11.96,14.1,1.0,296.1,349,25,57,30,7,0.28,0.24,6.38,2.38,6.79,9.3%
Matteo Baldi,D (RC),Juve Stabia,Italy,24,28,28,2466,6.84,1,1,1,4,0,0.04,1.87,0.07,0.54,0.02,1.87,0.07,-0.87,17,0.6,2,0.1,5.9%,1,0.04,0,0,90.5%,1052,38.4,5,0.18,47,1.7,1162,42.4,2,1,2,1,15,0.55,80,42,28,0.7,16,2.92,1.53,1.02,2,0.07,74,2.7,20,10,5,,,,,,,,,,,,,,9.61,3.7,0.1,263.2,102,2,158,104,2,0.07,0.07,4.85,0.26,1.97,4.0%
Bernat Guiu,"AM (R), ST",Virtus Entella,Spain,25,28,28,2175,6.93,12,5,2,3,0,0.50,10.46,0.43,2.69,0.11,10.46,0.43,1.54,55,2.3,23,1.0,21.8%,9,0.37,0,0,88.3%,616,25.5,28,1.16,30,1.2,698,28.9,34,7,34,7,18,0.74,41,12,6,1.3,27,1.70,0.50,0.25,0,0.00,181,7.5,31,44,23,,,,,,,,,,,,,,12.25,14.3,0.8,296.1,346,19,169,51,17,0.70,0.70,4.51,2.90,2.98,4.3%
Giulio Manetti,D/WB/M (R),Cesena FC,Italy,20,28,27,2451,6.73,3,0,2,1,0,0.11,2.38,0.09,4.71,0.17,2.38,0.09,0.62,22,0.8,5,0.2,13.6%,5,0.18,0,0,89.8%,1316,48.3,19,0.70,186,6.8,1465,53.8,87,16,87,16,20,0.73,83,44,18,1.5,25,3.05,1.62,0.66,1,0.04,151,5.5,40,26,22,,,,,,,,,,,,,,11.99,14.3,0.6,326.6,390,17,123,67,3,0.11,0.11,5.40,1.69,8.26,12.7%
Alejandro Cichero,"AM (C), ST",Frosinone,Venezuela,19,28,28,2520,7.43,15,4,1,0,0,0.54,6.75,0.24,0.88,0.03,6.75,0.24,8.25,69,2.5,33,1.2,21.7%,0,0.00,0,0,63.2%,354,12.6,0,0.00,0,0.0,560,20.0,0,0,0,0,36,1.29,0,0,0,0.0,54,0.00,0.00,0.00,0,0.00,0,0.0,0,26,19,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,19,0.68,0.68,2.21,1.71,0.68,0.0%
Nicolò Brighenti,D (C),Catanzaro,Italy,36,27,27,2430,7.00,3,1,1,3,0,0.11,0.62,0.02,0.47,0.02,0.62,0.02,2.38,9,0.3,7,0.3,33.3%,0,0.00,0,0,93.7%,1259,46.6,5,0.19,69,2.6,1344,49.8,1,0,1,0,19,0.70,79,34,21,1.0,29,2.93,1.26,0.78,5,0.19,86,3.2,26,14,0,,,,,,,,,,,,,,9.87,4.7,0.0,266.5,128,0,143,103,4,0.15,0.15,4.93,0.37,2.56,5.1%
Petko Hristov,D (C),Spezia,Bulgaria,27,27,27,2339,6.84,1,0,1,2,0,0.04,1.00,0.04,0.35,0.01,1.00,0.04,0.00,11,0.4,4,0.2,9.1%,1,0.04,0,0,92.2%,1288,49.6,8,0.31,108,4.2,1397,53.8,5,1,5,1,21,0.81,84,32,22,0.7,24,3.23,1.23,0.85,4,0.15,83,3.2,17,8,1,,,,,,,,,,,,,,10.27,5.7,0.0,266.8,149,1,148,94,1,0.04,0.04,5.19,0.31,4.23,7.7%
Salvatore Molina,WB/M/AM (RL),Südtirol,Italy,34,27,27,2157,6.69,1,4,1,6,0,0.04,1.37,0.06,4.33,0.18,1.37,0.06,-0.37,25,1.0,10,0.4,4.0%,12,0.50,0,0,88.2%,869,36.3,42,1.75,118,4.9,985,41.1,128,26,113,24,43,1.79,74,24,20,2.4,61,3.09,1.00,0.83,1,0.04,240,10.0,57,37,36,,,,,,,,,,,,,,13.13,24.7,3.5,314.8,592,83,91,26,5,0.21,0.21,7.26,5.42,9.89,12.0%
Francesco Zampano,D/WB/M (RL),Modena F.C.,Italy,32,27,26,2203,6.70,1,4,0,12,1,0.04,1.36,0.06,4.06,0.17,1.36,0.06,-0.36,24,1.0,8,0.3,4.2%,16,0.65,0,0,86.7%,1136,46.4,38,1.55,155,6.3,1311,53.6,143,30,142,30,60,2.45,61,22,10,2.0,83,2.49,0.90,0.41,1,0.04,230,9.4,49,60,24,,,,,,,,,,,,,,13.24,31.7,2.9,324.1,776,70,67,28,5,0.20,0.20,7.80,5.11,10.17,11.8%
Alfred Duncan,"DM, M (C)",Venezia,Ghana,32,27,27,2386,6.99,2,1,1,2,0,0.08,1.68,0.06,2.13,0.08,1.68,0.06,0.32,46,1.7,17,0.6,4.3%,3,0.11,0,0,89.7%,1577,59.5,29,1.09,228,8.6,1759,66.3,27,5,20,4,49,1.85,64,9,5,1.9,62,2.41,0.34,0.19,3,0.11,234,8.8,50,26,24,,,,,,,,,,,,,,11.61,12.6,1.5,307.8,334,40,41,16,3,0.11,0.11,5.43,2.49,11.01,13.0%
Cedric Gondo,ST,Reggiana,Côte d'Ivoire,29,27,27,2204,6.70,9,1,1,2,0,0.37,8.92,0.36,1.90,0.08,8.92,0.36,0.08,57,2.3,27,1.1,15.8%,6,0.25,0,0,88.1%,542,22.1,24,0.98,36,1.5,615,25.1,11,1,11,1,10,0.41,21,2,4,0.3,11,0.86,0.08,0.16,0,0.00,37,1.5,7,47,26,,,,,,,,,,,,,,11.53,9.8,0.6,282.3,240,15,239,106,10,0.41,0.41,3.35,2.37,3.14,5.9%
Valerio Mantovani,D (RC),SSC Bari,Italy,29,27,27,2425,6.89,0,0,0,0,0,0.00,0.13,0.00,0.30,0.01,0.13,0.00,-0.13,2,0.1,1,0.0,0.0%,0,0.00,0,0,93.5%,1635,60.7,7,0.26,143,5.3,1748,64.9,3,0,1,0,25,0.93,86,35,18,0.6,30,3.19,1.30,0.67,4,0.15,63,2.3,16,4,1,,,,,,,,,,,,,,10.57,7.7,0.0,284.7,207,1,125,68,0,0.00,0.00,4.94,0.07,5.38,8.2%
Kevin Varas,M (C),Padova,Ecuador,32,27,27,1890,6.86,1,3,0,0,0,0.05,2.18,0.10,2.29,0.11,1.42,0.07,-1.18,40,1.9,14,0.7,2.5%,6,0.29,1,1,90.4%,1056,50.3,31,1.48,130,6.2,1168,55.6,46,10,18,7,28,1.33,43,13,4,2.0,41,2.05,0.62,0.19,0,0.00,148,7.0,42,13,5,,,,,,,,,,,,,,11.83,12.1,0.3,248.5,255,6,30,3,4,0.19,0.14,4.19,1.57,6.71,11.1%
Emmanuel Gyasi,"WB/M (R), AM (RL), ST",Empoli FC,Ghana,32,27,27,1938,7.11,3,9,1,4,0,0.14,3.40,0.16,5.68,0.26,3.40,0.16,-0.40,35,1.6,18,0.8,8.6%,11,0.51,0,0,86.9%,926,43.0,64,2.97,84,3.9,1065,49.5,207,42,207,42,50,2.32,82,6,8,4.3,65,3.81,0.28,0.37,0,0.00,291,13.5,93,25,62,,,,,,,,,,,,,,12.92,29.3,6.5,278.3,630,139,45,22,12,0.56,0.56,7.66,9.89,13.24,7.9%
Cristian Cauz,"D (LC), WB (L)",Modena F.C.,Romania,29,27,25,2265,6.89,0,2,0,0,0,0.00,0.23,0.01,1.24,0.05,0.23,0.01,-0.23,3,0.1,2,0.1,0.0%,3,0.12,0,0,91.3%,1604,63.7,9,0.36,103,4.1,1756,69.8,32,3,11,1,17,0.68,67,47,13,0.7,23,2.66,1.87,0.52,4,0.16,75,3.0,18,2,3,,,,,,,,,,,,,,10.31,8.1,0.2,259.5,204,4,128,101,2,0.08,0.08,3.93,0.40,4.37,5.9%
Dario Šarić,"DM, M/AM (C)",Palermo,Bosnia and Herzegovina,28,27,28,2287,6.66,5,6,0,6,0,0.20,3.14,0.12,6.88,0.27,3.14,0.12,1.86,27,1.1,9,0.4,18.5%,13,0.51,0,0,86.8%,236,9.3,6,0.24,20,0.8,272,10.7,0,0,0,0,7,0.28,16,1,3,0.4,11,0.63,0.04,0.12,0,0.00,29,1.1,10,13,13,,,,,,,,,,,,,,2.27,2.3,0.0,57.8,59,1,14,11,11,0.43,0.43,1.53,1.10,1.34,7.4%
Andrea Cistana,D (C),Spezia,Italy,28,27,27,2430,6.85,1,0,2,0,0,0.04,0.58,0.02,0.36,0.01,0.58,0.02,0.42,10,0.4,4,0.1,10.0%,0,0.00,0,0,92.6%,1033,38.3,2,0.07,52,1.9,1116,41.3,1,0,1,0,11,0.41,72,32,24,0.7,14,2.67,1.19,0.89,5,0.19,73,2.7,18,2,0,,,,,,,,,,,,,,9.63,3.6,0.0,260.1,97,0,154,102,1,0.04,0.04,4.04,0.19,1.93,4.7%
Samuele Birindelli,D/WB (R),Monza,Italy,26,27,24,1949,6.81,2,2,1,6,0,0.09,1.41,0.07,3.35,0.15,1.41,0.07,0.59,13,0.6,6,0.3,15.4%,6,0.28,0,0,89.7%,1261,58.2,34,1.57,198,9.1,1406,64.9,125,25,124,25,28,1.29,58,21,8,2.7,39,2.68,0.97,0.37,2,0.09,185,8.5,58,22,13,,,,,,,,,,,,,,12.84,18.8,2.0,278.0,407,43,63,23,4,0.18,0.18,5.36,3.79,11.73,14.1%
Filippo Ranocchia,"DM, M/AM (C)",Palermo,Italy,24,27,24,1941,6.88,6,3,1,1,0,0.28,5.93,0.27,2.44,0.11,5.93,0.27,0.07,52,2.4,24,1.1,11.5%,6,0.28,0,0,88.0%,925,42.9,41,1.90,87,4.0,1051,48.7,90,13,10,3,19,0.88,69,15,3,2.6,29,3.20,0.70,0.14,2,0.09,193,8.9,55,17,15,,,,,,,,,,,,,,12.92,15.5,1.4,278.7,335,30,45,16,9,0.42,0.42,5.01,3.20,6.12,8.3%
Michael Venturi,D (C),Venezia,Italy,27,27,27,2295,6.97,0,0,0,1,0,0.00,0.84,0.03,0.20,0.01,0.84,0.03,-0.84,11,0.4,6,0.2,0.0%,0,0.00,0,0,92.5%,1386,54.4,7,0.27,102,4.0,1499,58.8,0,0,0,0,14,0.55,88,36,22,0.7,18,3.45,1.41,0.86,3,0.12,51,2.0,18,11,2,,,,,,,,,,,,,,10.24,8.0,0.0,261.1,203,0,156,117,0,0.00,0.00,5.29,0.24,4.08,6.8%
Alessandro Louati,"DM, M (C)",Juve Stabia,Tunisia,23,27,25,1763,6.64,0,1,0,1,0,0.00,1.21,0.06,3.45,0.18,1.21,0.06,-1.21,11,0.6,3,0.2,0.0%,2,0.10,0,0,87.8%,611,31.2,10,0.51,65,3.3,696,35.5,155,24,4,2,17,0.87,39,13,7,1.2,19,1.99,0.66,0.36,1,0.05,61,3.1,23,6,11,,,,,,,,,,,,,,8.15,6.8,0.2,159.7,134,3,28,20,1,0.05,0.05,3.52,0.51,4.03,9.3%
Kleis Bozhanaj,"M/AM (C), ST",Modena F.C.,Albania,25,27,26,2046,6.90,8,4,4,1,0,0.35,6.94,0.31,3.95,0.17,6.94,0.31,1.06,66,2.9,26,1.1,12.1%,11,0.48,0,0,87.5%,794,34.9,46,2.02,83,3.7,907,39.9,33,8,33,8,27,1.19,37,8,5,1.3,43,1.63,0.35,0.22,1,0.04,154,6.8,29,17,13,,,,,,,,,,,,,,12.44,17.9,1.2,282.7,406,28,93,23,12,0.53,0.53,3.78,3.56,5.45,9.2%
Ebrima Darboe,"DM, M (C)",SSC Bari,The Gambia,24,27,22,1795,6.71,0,1,0,2,0,0.00,0.22,0.01,0.90,0.05,0.22,0.01,-0.22,4,0.2,2,0.1,0.0%,2,0.10,0,0,92.4%,1153,57.8,19,0.95,116,5.8,1248,62.6,2,1,2,1,27,1.35,59,18,10,1.8,43,2.96,0.90,0.50,1,0.05,173,8.7,36,19,1,,,,,,,,,,,,,,12.79,17.7,0.2,255.0,354,3,30,11,1,0.05,0.05,5.77,0.40,6.02,9.3%
Moussa Manè,D/WB (R),SSC Bari,Senegal,22,27,27,2294,6.75,1,0,0,2,0,0.04,0.08,0.00,2.13,0.08,0.08,0.00,0.92,4,0.2,2,0.1,25.0%,3,0.12,0,0,84.9%,1003,39.4,36,1.41,116,4.6,1182,46.4,204,42,204,42,34,1.33,69,28,12,2.1,47,2.71,1.10,0.47,1,0.04,228,8.9,53,39,17,,,,,,,,,,,,,,12.25,21.3,1.7,312.2,543,44,124,68,1,0.04,0.04,6.04,3.61,6.94,9.8%
