Name,Position,Club,Nationality,Age,Appearances,Starts,Minutes Played,Average Rating,Goals,Assists,Player of the Match,Yellow Cards,Red Cards,Goals per 90,Expected Goals,xG per 90,Expected Assists,xA per 90,Non-Penalty xG,NP-xG per 90,xG Overperformance (Goals − xG),Shots,Shots per 90,Shots on Target,Shots on Target per 90,Conversion Rate,Clear Cut Chances Created,Clear Cut Chances Created per 90,Penalties Taken,Penalties Scored,Pass Completion %,Passes Completed,Passes Completed per 90,Key Passes,Key Passes per 90,Progressive Passes,Progressive Passes per 90,Passes Attempted,Passes Attempted per 90,Crosses Attempted,Crosses Completed,Open Play Crosses Attempted,Open Play Crosses Completed,Tackles Completed,Tackles Completed per 90,Interceptions,Clearances,Blocks,Pressures Completed per 90,Tackles Attempted,Interceptions per 90,Clearances per 90,Blocks per 90,Key Tackles,Key Tackles per 90,Pressures Attempted,Pressures Attempted per 90,Pressures Completed,Fouls Made,Fouls Won (Against),Save Percentage,Saves per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded per 90,Expected Goals Prevented,Saves Held,Saves Parried,Saves Tipped,Penalties Faced,Penalties Saved,Penalty Save Ratio,Goals Conceded,Distance per 90 (km),Sprints per 90,Dribbles per 90,Distance (km),Sprints,Dribbles,Headers Attempted,Headers Won,Goal Contributions,Goal Contributions per 90,Non-Penalty Contributions per 90,Defensive Actions per 90,Attacking Actions per 90,Creative Actions per 90,Progressive Pass %
Tommaso Ciardi,GK,Monza,Italy,20,36,36,3240,6.43,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,67.1%,613,17.0,1,0.03,0,0.0,914,25.4,0,0,0,1747,,,0,176,155,0.0,,0.00,4.89,4.31,0,0.00,0,0.0,0,0,12,63.1%,2.8,4,0.11,1.61,-8.01,20,56,23,4,0,0.0%,58,4.89,0.0,0.0,176.0,0,0,,,0,0.00,0.00,4.31,48.53,0.33,0.0%
Filippo Vertua,GK,Empoli FC,Italy,19,36,36,3188,6.85,0,0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,76.7%,728,20.6,1,0.03,0,0.0,949,26.8,0,0,0,994,,,0,168,93,0.0,,0.00,4.74,2.63,0,0.00,0,0.0,0,2,14,62.1%,1.7,9,0.25,1.02,-0.01,14,35,10,2,2,100.0%,36,5.30,0.0,0.0,187.8,0,0,,,0,0.00,0.00,2.74,28.06,0.40,0.0%
Adulai Embaló,ST,Virtus Entella,Luxembourg,20,36,36,3240,7.26,18,5,2,0,0,0.50,10.65,0.30,1.91,0.05,10.65,0.30,7.35,90,2.5,37,1.0,20.0%,0,0.00,0,0,57.9%,417,11.6,0,0.00,0,0.0,720,20.0,0,0,0,0,39,1.08,0,0,0,0.0,62,0.00,0.00,0.00,0,0.00,0,0.0,0,43,44,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,23,0.64,0.64,2.28,1.53,1.22,0.0%
Samuele Gori,M/AM (C),Cesena FC,Italy,18,36,36,3240,7.36,3,8,2,0,1,0.08,6.90,0.19,3.61,0.10,6.90,0.19,-3.90,63,1.8,26,0.7,4.8%,0,0.00,0,0,69.7%,502,13.9,0,0.00,0,0.0,720,20.0,0,0,0,0,37,1.03,0,0,0,0.0,46,0.00,0.00,0.00,0,0.00,0,0.0,0,32,38,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,11,0.31,0.31,1.92,0.81,1.06,0.0%
Stefano Codraro,D/WB (L),U.S. Avellino 1912,Italy,19,36,36,3240,7.34,3,5,2,1,3,0.08,1.89,0.05,2.21,0.06,1.89,0.05,1.11,18,0.5,5,0.1,16.7%,0,0.00,0,0,72.1%,519,14.4,0,0.00,0,0.0,720,20.0,0,0,0,0,66,1.83,0,0,0,0.0,68,0.00,0.00,0.00,0,0.00,0,0.0,0,58,35,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,8,0.22,0.22,3.44,0.22,0.97,0.0%
Luca Pizzella,GK,U.S. Avellino 1912,Italy,18,36,36,3240,6.53,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,70.7%,704,19.6,0,0.00,0,0.0,996,27.7,0,0,0,1058,,,0,195,121,0.0,,0.00,5.42,3.36,0,0.00,0,0.0,0,0,18,57.9%,1.9,4,0.11,1.42,-14.39,23,36,11,5,0,0.0%,51,5.51,0.0,0.0,198.2,0,0,,,0,0.00,0.00,3.36,29.39,0.50,0.0%
Pierluigi Morleo,M (C),Pescara,Italy,19,36,35,3194,7.11,3,10,0,0,0,0.08,1.17,0.03,2.58,0.07,1.17,0.03,1.83,7,0.2,3,0.1,42.9%,0,0.00,0,0,71.0%,511,14.4,0,0.00,0,0.0,720,20.3,0,0,0,0,62,1.75,0,0,0,0.0,77,0.00,0.00,0.00,0,0.00,0,0.0,0,24,42,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,13,0.37,0.37,2.42,0.17,1.18,0.0%
Filippo Berti,M/AM (C),Cesena FC,Italy,19,36,36,3240,7.14,5,7,1,0,0,0.14,6.96,0.19,3.48,0.10,6.96,0.19,-1.96,64,1.8,26,0.7,7.8%,0,0.00,0,0,68.2%,491,13.6,0,0.00,0,0.0,720,20.0,0,0,0,0,44,1.22,0,0,0,0.0,52,0.00,0.00,0.00,0,0.00,0,0.0,0,20,45,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,12,0.33,0.33,1.78,0.86,1.25,0.0%
Simone Di Biagio,D/WB (R),Pescara,Italy,18,36,36,3100,6.61,1,3,2,4,1,0.03,3.59,0.10,2.10,0.06,3.59,0.10,-2.59,32,0.9,3,0.1,3.1%,5,0.15,0,0,83.6%,1478,42.9,39,1.13,215,6.2,1769,51.4,68,4,68,4,36,1.05,130,43,26,1.0,47,3.77,1.25,0.75,7,0.20,132,3.8,35,24,7,,,,,,,,,,,,,,10.77,11.7,0.3,370.9,402,12,178,90,4,0.12,0.12,6.27,0.73,6.79,12.2%
Alessandro Rovere,D/WB (R),Empoli FC,Italy,19,36,36,3240,6.68,2,0,0,7,0,0.06,4.37,0.12,2.02,0.06,4.37,0.12,-2.37,35,1.0,10,0.3,5.7%,5,0.14,0,0,84.3%,1525,42.4,25,0.69,190,5.3,1809,50.3,90,11,90,11,39,1.08,135,34,15,1.1,44,3.75,0.94,0.42,1,0.03,127,3.5,40,37,27,,,,,,,,,,,,,,10.66,10.4,0.7,383.7,374,24,197,137,2,0.06,0.06,6.28,1.44,6.69,10.5%
Paolo Sanseverino,D/WB (R),Mantova,Italy,20,36,36,3240,6.59,4,4,1,3,0,0.11,5.85,0.16,2.61,0.07,5.85,0.16,-1.85,52,1.4,12,0.3,7.7%,3,0.08,0,0,86.3%,1598,44.4,29,0.81,195,5.4,1852,51.4,96,11,96,11,38,1.06,106,41,14,1.3,47,2.94,1.14,0.39,2,0.06,224,6.2,46,32,25,,,,,,,,,,,,,,11.12,10.3,0.3,400.3,372,9,147,79,8,0.22,0.22,5.28,1.08,6.36,10.5%
Mattia Valori,M/AM (C),Virtus Entella,Italy,20,36,36,3240,7.13,3,2,1,0,0,0.08,8.33,0.23,2.72,0.08,8.33,0.23,-5.33,67,1.9,26,0.7,4.5%,0,0.00,0,0,71.9%,518,14.4,0,0.00,0,0.0,720,20.0,0,0,0,0,37,1.03,0,0,0,0.0,47,0.00,0.00,0.00,0,0.00,0,0.0,0,33,44,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,5,0.14,0.14,1.94,0.81,1.22,0.0%
Lorenzo Mosca,GK,Mantova,Italy,17,36,36,3240,7.49,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,62.1%,447,12.4,0,0.00,0,0.0,720,20.0,0,0,0,0,,,0,0,0,0.0,,0.00,0.00,0.00,0,0.00,0,0.0,0,0,4,0.0%,0.0,12,0.33,1.19,0.00,0,0,0,0,0,,43,0.00,0.0,0.0,0.0,0,0,,,0,0.00,0.00,0.00,0.00,0.11,0.0%
Christian Neri,GK,Empoli FC,Italy,17,36,35,3152,7.39,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,58.6%,422,12.0,0,0.00,0,0.0,720,20.6,0,0,0,0,,,0,0,0,0.0,,0.00,0.00,0.00,0,0.00,0,0.0,0,0,18,0.0%,0.0,13,0.37,1.14,0.00,0,0,0,0,0,,40,0.00,0.0,0.0,0.0,0,0,,,0,0.00,0.00,0.00,0.00,0.51,0.0%
